0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.712323691336803222e+02 3.198389645378826862e-02 1.686780073761140333e-06 2.602887514002675928e+00
3.000000000000000000e+00 9.200431229251266814e+02 4.412268193934382882e-02 3.374004247561341927e-06 2.999433127329802495e+00
4.000000000000000000e+00 8.702149976446726214e+02 4.138394337459962158e-02 5.624323649753917989e-06 2.883030816679711617e+00
5.000000000000000000e+00 8.325965465620238319e+02 3.003219361802609427e-02 8.438320273568680467e-06 2.513690993894754921e+00
6.000000000000000000e+00 8.065576567673763293e+02 1.804028702163474121e-02 1.181671292301033661e-05 2.068592578660993553e+00
7.000000000000000000e+00 7.897650875557571908e+02 9.859057563055030615e-03 1.576035151592573703e-05 1.650483811292697167e+00
8.000000000000000000e+00 7.794912022947470405e+02 5.886765397095067298e-03 2.027021040484184187e-05 1.310553868356194362e+00
9.000000000000000000e+00 7.744031602144882527e+02 4.451984601636235599e-03 2.534738066701698814e-05 1.062744645869640125e+00
1.000000000000000000e+01 7.731467610367986936e+02 3.874657598905466120e-03 3.099306153023807786e-05 9.065550648102963516e-01
1.100000000000000000e+01 7.744188786111981244e+02 3.365517308667460676e-03 3.720855098748791469e-05 8.305114992053936884e-01
1.200000000000000000e+01 7.788534305502248571e+02 2.883555300670389079e-03 4.399523563854025718e-05 8.184172861101030039e-01
1.300000000000000000e+01 7.845722849405938177e+02 2.602300569711001130e-03 5.135457984643686691e-05 8.470474713624041030e-01
1.400000000000000000e+01 7.914627316021366141e+02 2.579093724170833293e-03 5.928811440963120894e-05 8.932646757866770093e-01
1.500000000000000000e+01 7.985021500435748294e+02 2.733418319673626591e-03 6.779742470604829905e-05 9.467017085075142280e-01
1.600000000000000000e+01 8.073584706168638832e+02 2.956815748337958231e-03 7.688413846512413667e-05 1.005694064624582440e+00
1.700000000000000000e+01 8.178816734935446675e+02 3.252677209674802953e-03 8.654991334037867036e-05 1.065510616083521933e+00
1.800000000000000000e+01 8.289636444727045728e+02 3.656072182497810061e-03 9.679642430793165809e-05 1.123385633824983909e+00
1.900000000000000000e+01 8.413803624710265012e+02 4.214408124977294355e-03 1.076253508995270327e-04 1.182608458205460567e+00
2.000000000000000000e+01 8.535300801520019149e+02 4.948767824446603618e-03 1.190383647806722426e-04 1.238884186548804056e+00
